
活动连接

  协议  本地地址          外部地址        状态           PID
  UDP    0.0.0.0:53             *:*                                    3696
  UDP    0.0.0.0:53             *:*                                    3696
  UDP    0.0.0.0:500            *:*                                    7328
  UDP    0.0.0.0:3389           *:*                                    1812
  UDP    0.0.0.0:3702           *:*                                    4992
  UDP    0.0.0.0:3702           *:*                                    3720
  UDP    0.0.0.0:3702           *:*                                    3720
  UDP    0.0.0.0:3702           *:*                                    4992
  UDP    0.0.0.0:4023           *:*                                    23572
  UDP    0.0.0.0:4500           *:*                                    7328
  UDP    0.0.0.0:5050           *:*                                    7844
  UDP    0.0.0.0:5353           *:*                                    1440
  UDP    0.0.0.0:5353           *:*                                    1440
  UDP    0.0.0.0:5353           *:*                                    15448
  UDP    0.0.0.0:5353           *:*                                    1440
  UDP    0.0.0.0:5353           *:*                                    15448
  UDP    0.0.0.0:5353           *:*                                    3516
  UDP    0.0.0.0:5353           *:*                                    15448
  UDP    0.0.0.0:5353           *:*                                    1440
  UDP    0.0.0.0:5353           *:*                                    1440
  UDP    0.0.0.0:5353           *:*                                    15448
  UDP    0.0.0.0:5353           *:*                                    15448
  UDP    0.0.0.0:5355           *:*                                    3516
  UDP    0.0.0.0:27036          *:*                                    15364
  UDP    0.0.0.0:28252          *:*                                    7256
  UDP    0.0.0.0:45769          *:*                                    2032
  UDP    0.0.0.0:49570          *:*                                    15364
  UDP    0.0.0.0:50905          *:*                                    23572
  UDP    0.0.0.0:51844          *:*                                    7180
  UDP    0.0.0.0:54161          *:*                                    4992
  UDP    0.0.0.0:54368          *:*                                    3720
  UDP    0.0.0.0:56489          *:*                                    7460
  UDP    0.0.0.0:57937          *:*                                    7180
  UDP    0.0.0.0:58622          *:*                                    3696
  UDP    0.0.0.0:58623          *:*                                    3696
  UDP    0.0.0.0:62300          *:*                                    21100
  UDP    0.0.0.0:63283          *:*                                    7008
  UDP    0.0.0.0:63952          *:*                                    3696
  UDP    127.0.0.1:1096         *:*                                    22048
  UDP    127.0.0.1:1900         *:*                                    4980
  UDP    127.0.0.1:49996        *:*                                    4980
  UDP    127.0.0.1:56560        *:*                                    23572
  UDP    127.0.0.1:56561        *:*                                    23572
  UDP    127.0.0.1:56562        *:*                                    23572
  UDP    127.0.0.1:56563        *:*                                    23572
  UDP    127.0.0.1:56564        *:*                                    23572
  UDP    127.0.0.1:56565        *:*                                    23572
  UDP    127.0.0.1:57352        *:*                                    23572
